,Id,emp_title,emp_length,home_ownership,annual_inc,verification_status,pymnt_plan,Notes,purpose_cat,purpose,zip_code,addr_state,debt_to_income,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code
7661,7662,City of Rolling Meadows,10,MORTGAGE,120000.0,not verified,n,"I would like to pay off three high interest rate credit cards with a total balance of $25,000.  I have a FICO score of 684 and am willing to close the credit card accounts.  Two are already closed.  I am a Deputy Fire Chief and have worked with the same municipal fire department for 18 years.  I have never defaulted on any loan or declared bankruptcy and never will.  My wife and I have gotten into a debt situation that we are planning to eliminate using Dave Ramsey's financial program.",debt consolidation,Debt Consolidation,600xx,IL,7.92,0.0,04/01/1992,1.0,37.0,,5.0,0.0,111055,87.2,27.0,f,0.0,3,PC1
9644,9645,"Social Solutions Global, Inc",4,MORTGAGE,60000.0,VERIFIED - income source,n,"  Borrower added on 09/20/11 > The loan is for completing the basement in my home. I've owned the home for 2 years. I've been with my current company for almost 5 years, and just received a promotion. I believe my loan is an excellent investment!<br/>",home improvement,Basement Renovation Loan,212xx,MD,11.14,0.0,07/01/2005,0.0,26.0,,7.0,0.0,1465,26.6,13.0,f,0.0,1,PC5
2420,2421,Rowerdink Inc,10,MORTGAGE,88000.0,not verified,n,"  Borrower added on 12/02/10 > The purpose of this loan is pay off three high interest rate credit cards. Both myself and my spouse, have steady jobs and have been employed at them for 10 plus years. I am in the process of taking on more responsibilities with my employer. As a result, I am being additionally compensated for the increased job functions.<br/>",debt consolidation,Debt Consolidation Loan,480xx,MI,14.63,0.0,07/01/1994,1.0,75.0,,9.0,0.0,11163,71.1,55.0,f,0.0,3,PC3
4871,4872,State Street Bank & Trust,5,RENT,56000.0,not verified,n,  Borrower added on 12/02/11 > Thank you very much! I am using this to help pay some major bills that I have and pay down some debt. God Bless You All!<br>,debt consolidation,Debt Consolidation Loan,021xx,MA,19.33,1.0,12/01/1994,0.0,15.0,,14.0,0.0,21282,58.8,22.0,f,0.0,3,PC1
8148,8149,dimension one ,10,RENT,60000.0,VERIFIED - income source,n,  Borrower added on 02/09/11 > need this loan too pay taxes an too get combine credit cards into a lower payment<br/>,credit card,taxes,320xx,FL,18.68,0.0,01/01/1997,0.0,59.0,,23.0,0.0,27829,67.1,54.0,f,0.0,1,PC5
6625,6626,city of tyler,4,MORTGAGE,60000.0,not verified,n,  Borrower added on 08/23/10 > I am using the loan to payoff my cards. I bought my house two years ago and have just spent too much on appliances and furniture. My interests rates on my cards range from 19.9 to 28.9. I can afford my payments I was just looking into lowering the apr so I can pay the balance off faster.<br/>,debt consolidation,chads loan,757xx,TX,11.5,1.0,11/01/1999,0.0,23.0,,13.0,0.0,13963,36.7,36.0,f,0.0,3,PC4
7204,7205,McKinsey  and  Company,4,OWN,80000.0,VERIFIED - income,n,,debt consolidation,Consolidate,105xx,NY,17.46,0.0,07/01/1994,0.0,30.0,,8.0,0.0,30011,75.0,26.0,f,0.0,3,PC4
9904,9905,Minnieland,8,MORTGAGE,63996.0,not verified,n,  Borrower added on 03/22/11 > This loan will consolidate my consumer debt and reduce it to zero in a reasonable amount of time.  It is important for me to achieve this goal so that I can focus my attention and resources on other financial goals.  All my bills are paid on time either with ACH auto-debit or through on-line banking.<br/>,debt consolidation,Debt Consolidation,231xx,VA,9.6,0.0,04/01/1999,0.0,,,3.0,0.0,10464,83.7,15.0,f,0.0,2,PC5
4430,4431,Kaiser Permanente,10,MORTGAGE,55097.04,VERIFIED - income,n,,home improvement,home_improvement,302xx,GA,16.64,0.0,07/01/2001,1.0,76.0,117.0,7.0,1.0,3532,14.2,23.0,f,0.0,1,PC4
7211,7212,"CitiMortgage, Inc",10,MORTGAGE,43700.0,VERIFIED - income,n,"  Borrower added on 06/07/10 > Update to this prior Answer:  (Home Purchased for $142,000.00, current UPB $141,700.00)<br/>Correction: Home purchased for $142,800.00, current UPB $141,588.00.<br/>",debt consolidation,Debt Conso,254xx,WV,23.7,0.0,02/01/1993,3.0,,,11.0,0.0,16423,72.2,14.0,f,0.0,1,PC2
175,176,fairbanks northstar borough school district,10,MORTGAGE,87000.0,not verified,n,I recently combined a planned work trip with a short vacation to visit family without realizing that my daughter (21) would join the Navy immediately upon our return and that her induction would be held a day's drive away in Anchorage. I am a single mother assisting with rearing my daughter's  7 month old.  I want to take my grandson (my daughter will be flown to Anc) and drive down to view her induction. I have an excellent job but made some bad investments previously.  I only use one debit card and one credit card. I am a long-time special educator and take my financial responsibilites very seriously.  I have been very interested in peer-to-peer loans and am hoping to eventually utilize the service both as an borrower and an investor.,other,Parent Attend Navy Induction,997xx,AK,5.57,1.0,03/01/1986,0.0,13.0,,5.0,0.0,5742,55.2,18.0,f,0.0,1,PC3
7600,7601,MHA of Dutchess County,9,MORTGAGE,90000.0,VERIFIED - income,n,"  Borrower added on 04/02/11 > At the current time I have one credit card with a 4,500 balance.  I did my taxes on my own for the last few years and now owe.   owe 1,500 from last yr, which I just got notice from and I need to pay 2,800 for 2010.  I have one loan from my local credit union with a 11,500 balance.  I would like to combine the three.  I pay 400 month on the loan and about 400 a month on the credit card with no end in sight on that one.  This would allow me one payment equalling about 500 less than I pay now.  Ultimate goal is to be debt free and the quicker I pay this loan off the better.  I did not include my wife as a co-signer but she also makes 78,000 yr and our relationship is strong.<br/> Borrower added on 04/02/11 > All balances I have will be paid by this loan and I will have one payment with no problem paying. I will close the credit card and payoff the loan with my bank. I will not be drawing on any other credit sources.<br/> Borrower added on 04/04/11 > My wife and I have a combined 2010 taxable income of 166,000.  I will not default on this loan.<br/> Borrower added on 04/07/11 > This is new to me and I find it fascinating. Thank you to everyone who are investing. You made a safe investment and I appreciate it so much.<br/>",debt consolidation,Consolodation,125xx,NY,8.72,1.0,01/01/1991,1.0,22.0,,4.0,0.0,4690,59.4,26.0,f,0.0,2,PC5
9614,9615,Maritz Research,1,RENT,39996.0,VERIFIED - income source,n,,debt consolidation,Debt Consolidation,631xx,MO,7.8,0.0,07/01/2008,1.0,,,6.0,0.0,9702,55.8,7.0,f,0.0,2,PC3
7392,7393,Monitor Liability Managers  LLC,2,MORTGAGE,75744.0,not verified,n,,debt consolidation,CC Consolidation,601xx,IL,16.87,0.0,06/01/1989,2.0,,,17.0,0.0,14339,38.6,26.0,f,0.0,3,PC5
5875,5876,Follett Higher Education Group,4,RENT,14400.0,not verified,n,  Borrower added on 11/26/11 > I am looking to pay off credit card bills that I incurred while I was a college student. I was hoping to consolidate my debt in order to receive a lower interest rate.<br>,debt consolidation,Debt Consolidation,306xx,GA,6.67,0.0,10/01/2004,0.0,,,3.0,0.0,894,63.9,7.0,f,0.0,1,PC4
3456,3457,Donna Angotti MD,9,RENT,40500.0,not verified,n,,other,donna,190xx,PA,0.53,0.0,08/01/1987,1.0,,,10.0,0.0,916,7.3,22.0,f,0.0,3,PC5
8743,8744,TOAST.net Internet SVC,10,MORTGAGE,90000.0,not verified,n,"  Borrower added on 09/15/11 > I'd just like to clarify that I've never been late or missed a payment on any loan or bill. The problems that caused our high debt load subsided over a year ago, and I'd like to consolidate our remaining bills to pay things off faster.  Thank you for your consideration.<br/>null",debt consolidation,Credit Card Consolidation ,435xx,OH,12.88,0.0,09/01/1998,0.0,,,17.0,0.0,53884,65.1,44.0,f,0.0,3,PC2
8722,8723,Merrill Lynch,10,RENT,50004.0,VERIFIED - income source,n,,debt consolidation,Credit Card Consolidation Loan,490xx,MI,13.03,0.0,01/01/1996,1.0,,,3.0,0.0,16180,76.7,13.0,f,0.0,3,PC4
6333,6334,CrownPeak,1,MORTGAGE,97000.0,VERIFIED - income,n,  Borrower added on 12/23/10 > Consolidating the remaining balances on my credit cards (without having to deal with different banks and interest rates) as part of my financial push to Operation Financial Freedom. I will repay this loan in exactly 12 months. If you want to make a smart investment and receive all your returns in 12 months this would be a good choice.<br/>,debt consolidation,Operation Freedom,908xx,CA,10.0,0.0,08/01/2001,1.0,,,21.0,0.0,8243,60.8,33.0,f,0.0,3,PC5
4028,4029,Lowe Construction,4,MORTGAGE,55000.0,not verified,n,"  Borrower added on 03/06/11 > I'm finishing up a remodel for an apartment I own with my mother in a LLC and $5,000 will finish the kitchen and bathroom improvements so we can rent it out in a couple of months. We own two other apartments that are currently rented with year leases.<br/> Borrower added on 03/06/11 > I need $5,000 to finish kitchen and bathroom improvements in an apartment I own with my mother in a LLC so I can rent it out in a couple of months. We own two other apartments that are currently rented with year leases.<br/>",home improvement,apartment remodel,982xx,WA,8.49,0.0,11/01/1993,2.0,,109.0,9.0,1.0,17258,42.7,20.0,f,0.0,3,PC5
313,314,1Life Healthcare,3,RENT,110000.0,VERIFIED - income,n,,debt consolidation,Debt Consolidation,941xx,CA,8.21,0.0,06/01/1997,1.0,,,11.0,0.0,21296,75.3,33.0,f,0.0,3,PC5
6076,6077,orange county head start,10,RENT,32160.0,VERIFIED - income source,n,  Borrower added on 12/05/11 > I am on time with payments. I will be consolidating my bills so i only have one payment a month. I have a stable job and have been working in my field for 25 years.  Thank You<br>,debt consolidation,consolidate bills,927xx,CA,23.47,0.0,03/01/1983,2.0,,,11.0,0.0,4616,33.2,16.0,f,0.0,3,PC5
6794,6795,manor-care,5,RENT,38000.0,VERIFIED - income source,n,  Borrower added on 12/01/11 > Credit card refinancing.<br>Borrower added on 12/01/11 > Credit card refinancing.<br>,credit card,personal,208xx,MD,7.86,0.0,10/01/2006,0.0,,,7.0,0.0,6363,57.3,9.0,f,0.0,3,PC4
8406,8407,Little Rock School District,10,MORTGAGE,48000.0,VERIFIED - income source,n,  Borrower added on 05/17/11 > The loan will be used to start and complete a home improvement project. I have very little debit currently and work hard to stay up on all payments. On my credit there is a vehicle I am jointly named on but which I am no longer involved with but the primary owner &amp; possessor has not been making payments ontime recently and throughout the whole loan period. I hope you will be able to overlook this one fault in my credit information. I am a public school teacher and have been working for my school district for 12 years now.<br/>,home improvement,Construction,720xx,AR,11.9,1.0,03/01/1998,1.0,15.0,,5.0,0.0,1182,73.9,17.0,f,0.0,3,PC2
606,607,Ductz of Greater Atlanta,6,RENT,30000.0,not verified,n," To pay off credit card bills, school loan, dentist bills.",other,personnel loan,302xx,GA,17.88,0.0,02/01/2007,2.0,,,8.0,0.0,2229,34.8,9.0,f,0.0,3,PC4
3785,3786,Military,4,RENT,54600.0,VERIFIED - income source,n,"  Borrower added on 03/29/11 > Hi, to whom this may concern. I'm seeking a loan to consolidate my bills and simply have 1 interest rate charged from one account as opposed to 4. I am a very responsible individual, I have been serving in the U.S. Marine Corps since Feb 2007 and I just reenlisted until Feb 27, 2015. I assure you that I can afford to pay this loan. I actually have no need for this loan, yet it is a good idea to simplify my debts as much as possible. I also want to let you know that I DO NOT! intend to keep the loan open for more than 2yrs, I simply put down a 5yr payment plan, to have a lower interest rate. Wouldn't anyone?, this is business gentlemen. I hope you guys can aid my request and fund my loan, I would trully appreciate it. Thank you for your time gentlemen. Help me help you (investors) profit a bit. Have a wonderful day.<br/> Borrower added on 03/29/11 > To whom this may concern. Good day Gentlement, I am a Sgt serving in the United States Marine Corps. I am requesting this loan to consolidate some bills and lower my interest rates to a single one rate per month. I can assure you that I can affoard this loan with no problems. To be honest, I have no need for this, however I do wish to simplify my bills as much as possible and uped for a personal loan to do so from Lendingclub.com due to its good reviews I read. I also want to add that I DO NOT! intend to keep the loan open for more than 2yrs, I simply chose the 5yr plan due to its lower interest rate, wouldn't anyone? This is business gentlemen. I have good credit but most importantly financial security for the next 4 yrs. I have been serving in the Marine Corps since Feb 2007 and just extended my service contract until Feb 2015. I am a VERY responsible individual, but like many of us, as a young gun did not cared to increase my financial literacy and had minor setbacks,but nothing major. I hope that with the combination of a good credit score, my job security and my well earned income for me and my wife convince you of funding my request. Rest assured, I can affoard this loan and you should not worry at all. Thank you for your time gentlemen, help me help you (Investors) profit and feel free to say that you are a supporter of our troops as you do so. To those whom this may apply, OORAH! gentlemen. Have a wonderful day.<br/>",home improvement,Home Improvement,921xx,CA,7.08,0.0,10/01/2005,1.0,62.0,,8.0,0.0,5236,34.4,14.0,f,0.0,2,PC1
5755,5756,UBS Investment Bank,1,RENT,75600.0,VERIFIED - income,n,"  Borrower added on 10/19/10 > Help to fund high interest credit card balance which was accumulated through a previous period of unemployment. Thank you.<br/> Borrower added on 10/19/10 > Fully time stable job with a year end bonus coming in January of 2011, definitely plan on paying out the loan by at least mid year 2011. The Job is very stable in a reputable Company.  I am a responsible person who always max out 401K and saving plans.  Looking forward to getting back on track.<br/> Borrower added on 10/20/10 > I am a renter have do not have any other obligated payments per month besides Rent and Utilities, so this would definitely be the next priority item on the payment list.<br/>",credit card,CC refinance,100xx,NY,3.57,0.0,10/01/2002,0.0,,,8.0,0.0,9328,21.2,15.0,f,0.0,2,PC5
7040,7041,StaffChex,6,MORTGAGE,130000.0,VERIFIED - income,n,,small business,Small Business Loan,925xx,CA,19.08,0.0,08/01/1995,1.0,43.0,,10.0,0.0,8075,59.4,20.0,f,0.0,1,PC1
4100,4101,city of cadillac,10,MORTGAGE,41000.0,VERIFIED - income,n,  Borrower added on 05/20/11 > boat<br/> Borrower added on 05/22/11 > thank you<br/>,other,boat,496xx,MI,24.64,0.0,03/01/1990,2.0,61.0,61.0,9.0,1.0,9508,58.3,31.0,f,0.0,2,PC1
5706,5707,AMSEC LLC,3,RENT,45000.0,not verified,n,,debt consolidation,Consolidation,100xx,NY,11.33,0.0,01/01/1999,1.0,67.0,,8.0,0.0,13026,68.4,14.0,f,0.0,3,PC1
270,271,Danya International,1,RENT,42000.0,not verified,n,"  Borrower added on 10/05/11 > Emergency travel to attend to sick relative.<br/> Borrower added on 10/05/11 > Emergency travel loan<br/> Borrower added on 10/05/11 > Need to purchase an airline ticket of $1,800.00<br/> Borrower added on 10/05/11 > My job is stable as the contract has been extended to 5 years<br/> Borrower added on 10/05/11 > Emergency travel loan<br/>",other small business,Other Loan,209xx,MD,3.8,0.0,10/01/2001,1.0,70.0,,3.0,0.0,3467,47.5,8.0,f,0.0,1,PC4
9442,9443,,1,MORTGAGE,110000.0,not verified,n,Taking advantage of excellent credit to pay off credit card,credit card,Revolving Debt,146xx,NY,7.07,0.0,11/01/1991,1.0,0.0,0.0,6.0,0.0,7586,52.7,19.0,f,0.0,1,PC4
6951,6952,Call One,10,MORTGAGE,110000.0,VERIFIED - income source,n,  Borrower added on 10/07/10 > We are now in the position to remodel our basement.  The loan is to get it done by Christmas and keep the debt off of credit cards.<br/>,home improvement,Remodeling the Basement,603xx,IL,14.28,0.0,08/01/1994,0.0,34.0,,15.0,0.0,22673,74.6,38.0,f,0.0,1,PC5
9088,9089,FIRST TRANSIT,1,RENT,25000.0,not verified,n,"I am in need of a down payment loan for a new home.  I am 23 years old and this will be my first home purchase.  I have excellent credit and an excellent employment history.  I have already been pre-approved by a lender to purchase this home, but they want to see a down payment in my account before finishing up the loan. please make my dream come true and consider me when making choices for giving loans to qualfied people.  thank you very much!",house,NEED A LOAN,891xx,NV,2.21,0.0,10/01/2002,4.0,,,8.0,0.0,1568,9.1,16.0,f,0.0,2,PC1
9162,9163,Townsend,2,MORTGAGE,135000.0,not verified,n,,debt consolidation,Debit Consolidation,951xx,CA,12.02,0.0,06/01/1996,4.0,67.0,,9.0,0.0,14316,70.9,37.0,f,0.0,2,PC2
9497,9498,HealthCare Services Group,1,RENT,30159.96,VERIFIED - income source,n,  Borrower added on 10/11/10 > wedding planning<br/>,debt consolidation,Steve's Loan,240xx,VA,9.63,0.0,08/01/2005,1.0,,,10.0,0.0,2670,35.6,10.0,f,0.0,2,PC1
6516,6517,,1,OWN,40000.0,not verified,n,I would like to consolidate some credit cards.,debt consolidation,Credit cards,038xx,NH,18.24,0.0,01/01/1996,1.0,,,7.0,0.0,15955,70.9,19.0,f,0.0,1,PC5
4189,4190,Wells Fargo Foothill,2,RENT,65500.0,not verified,n," 574970 added on 11/15/09 > Also, the funds would be used for car repairs.<br/>",debt consolidation,Debt Consolidaton,300xx,GA,9.07,0.0,06/01/2001,0.0,,,7.0,0.0,15389,81.0,15.0,f,0.0,3,PC4
6952,6953,Cleveland Country Club,3,RENT,75000.0,VERIFIED - income,n,"Last year I started a boarding tennis academy (www.scoben.com) for a small group of young junior tennis players interested in working towards making the professional tour. I went to several banks for a business start-up loan, but to no avail. To get the business up and started, I had to resort to credit cards to provide the capital to get the business going.  I had as many as 12 players in the academy in the fall. Due to economic hardship for parents of a couple of the players and injuries, I have dropped to a current level of five players with five more to start the fall of 2008. In the mean time, losing those players who began last fall has cost me almost $25,000 in revenue for Spring 2008. Despite that loss, I have averaged almost $7000 of gross revenue per month over the past three months. With the higher interst rates, I would like to pay off the four cards with a balance of $23,575 with a consolidated loan, thus lowering my monthly payment and reducing the amount of cost to the start-up of the company.   I have a base salary of $35,000 from the facility that I am based out of and had commissions paid in the amount of $6600 in January and $9000 in February. My gross income for 2007 was $85,000 with a base salary of $20,000 and commissions of $65,000 for the year.   If you notice on my credit report, I have not missed a payment on any debt. I wish to keep it that way and am looking for a loan to consolidate some of the monthly payments and reduce the total amount of my long-term debt. I hope to find someone to help me achieve my financial goals. ",credit card,Pay Off CC Debt Used to Start Business,281xx,NC,22.74,0.0,11/01/1991,0.0,80.0,,10.0,0.0,32682,96.1,26.0,f,0.0,2,PC3
9264,9265,Bright Horizons Family Solutions,10,RENT,41000.0,not verified,n,"I am a single parent trying make ends meet.  I am owed $40,000.00 in back child support from my child's father.  The case is with Child Support services in Los Angeles County.  I want the $20,000.00 to pay off a personal and car loan, a few credit cards.  When I do then I will have only one payment to make.  Thank you,  Anita Porter",debt consolidation,Consolidation of debt loan,900xx,CA,5.21,0.0,12/01/1993,0.0,,108.0,6.0,1.0,5805,80.6,9.0,f,0.0,1,PC4
358,359,Raley's,10,RENT,49000.0,VERIFIED - income,n,  Borrower added on 12/02/11 > Been with current employer(Raley's) for over 12 years. Been with the same union (UFCW) for over 20 years. <br>,debt consolidation,Debt consolidation,952xx,CA,21.92,0.0,01/01/1991,0.0,,,15.0,0.0,27828,59.7,24.0,f,0.0,1,PC2
6732,6733,Envoy Mortgage,1,MORTGAGE,75000.0,VERIFIED - income source,n,"  Borrower added on 11/05/11 > I will be paying off credit cards with this loan. It just makes more sense to consolidate with a lower rate. I do plan to pay this loan off in a shorter time frame than five years as I will be eligible for a yearly bonus with my company beginning next year.<br/> Borrower added on 11/07/11 > I have almost 8 years experience in my industry and have consistently moved up the career ladder.<br/>As demonstrated by the tradelines in my credit report, I have never missed a payment nor have I been late on any payments.<br/>",debt consolidation,Debt Consolidation,773xx,TX,5.6,0.0,05/01/2005,0.0,,,13.0,0.0,14602,35.9,18.0,f,0.0,3,PC4
179,180,Tazewell County Sheriffs Office,8,MORTGAGE,35500.0,not verified,n,  Borrower added on 08/21/11 > I am paying well over 300.00 dollars every month now on just the min payment and paying it off will take years.  If this loan is funded I will be paying less than I do now and the debt will be paid in 36 months.<br/>,debt consolidation,Credit Card Consolidation,246xx,VA,23.8,1.0,07/01/2001,1.0,18.0,,17.0,0.0,5739,26.7,28.0,f,0.0,1,PC2
8676,8677,The Lineage Group,1,RENT,32400.0,not verified,n,"  Borrower added on 01/20/10 > I'm closing out my last credit card with this money, and have the means and desire to be debt free as soon as possible. I'm hoping to pay this off early.<br/>",credit card,Ready to knock all debt out of the park.,306xx,GA,23.41,0.0,05/01/2001,0.0,,,8.0,0.0,9430,45.3,12.0,f,0.0,1,PC4
5829,5830,Gila Regional Medical Center,10,OWN,27560.0,VERIFIED - income source,n,,other,Other Loan,880xx,NM,23.38,2.0,08/01/1993,1.0,5.0,,10.0,0.0,8200,40.0,34.0,f,0.0,1,PC2
4246,4247,great clips,5,RENT,30000.0,not verified,n,"  Borrower added on 10/24/10 > tryin to get myself and my child out of an unhealthy environment. i plan to use the loan to buy furniture, dishes, linens, etc. and to help with after school care for my son while im working.<br/>",moving,apartment,294xx,SC,7.12,0.0,08/01/1997,0.0,37.0,,5.0,0.0,5186,14.3,9.0,f,0.0,1,PC2
5145,5146,Shinwa USA,6,MORTGAGE,65000.0,VERIFIED - income source,n,"  Borrower added on 10/07/11 > Consolidate existing Lending Club loan (10.25%  rate, balance $8,500)<br/>and Discover personal loan (14% rate, balance approx. $10,000)<br/><br/>My monthly payments will be lowered by $85 as a result<br/>Borrower added on 10/07/11 > Consolidate existing Lending Club loan (10.25%  rate, balance $8,500)<br/>and Discover personal loan (14% rate, balance approx. $9,000)<br/><br/>My monthly payments will be lowered by $85 as a result<br/>",debt consolidation,Debt Consolidation Loan,410xx,KY,16.82,0.0,02/01/2001,3.0,,,10.0,0.0,3666,18.9,23.0,f,0.0,1,PC3
2120,2121,Winslow Animal Clinic,4,RENT,33000.0,VERIFIED - income,n,,debt consolidation,Debt2,983xx,WA,27.38,0.0,04/01/2004,0.0,,,6.0,0.0,6290,46.3,19.0,f,0.0,1,PC3
5468,5469,Ericsson Inc.,1,RENT,100450.0,VERIFIED - income,n,  Borrower added on 11/23/11 > Credit card consolidation and refinancing.<br>,credit card,Refinance,750xx,TX,23.13,0.0,09/01/1997,0.0,,,8.0,0.0,33187,89.5,18.0,f,0.0,2,PC4
7851,7852,Chelsea Reach Program,4,RENT,20400.0,not verified,n,  Borrower added on 07/05/11 > To only make 1 payment instead of more.<br/>,debt consolidation,Debt Consolidation Loan,021xx,MA,9.18,0.0,05/01/1999,0.0,,,2.0,0.0,5198,28.9,20.0,f,0.0,1,PC3
2384,2385,NetSpend,1,RENT,50000.0,not verified,n,,debt consolidation,Pay off High Interest Credit Card,787xx,TX,5.02,0.0,10/01/2002,0.0,33.0,,5.0,0.0,3806,47.2,12.0,f,0.0,2,PC3
8999,9000,City of Gainesville (FL),10,RENT,75000.0,not verified,n,"Hello all  I would use this loan to consolidate 2-3 credit card debts.  I have excellent credit scores (Experian:748; TransUnion:768; Equifax:739 as of 09/24/09). My credit score has been as high as 783 in the past and I do not have any late payments.  Also, I have been employed at the same job for 14+ years.  In essence, this would be a great investment!  Again, thank you for your consideration!",debt consolidation,Debt Consolidation,326xx,FL,3.74,0.0,03/01/1989,2.0,,,4.0,0.0,23762,44.5,20.0,f,0.0,3,PC5
3041,3042,Ellis Lawhorne,10,MORTGAGE,88000.0,VERIFIED - income source,n,,home improvement,Home Improvement Loan,290xx,SC,22.43,0.0,06/01/1988,3.0,56.0,,9.0,0.0,16443,74.4,21.0,f,0.0,1,PC2
5207,5208,Cincinnati PC Solutions,3,MORTGAGE,37440.0,not verified,n,I have a Home depot credit card that has a balance of $6700. I wish to pay this account in full and cancel the card.  I also have a home improvement project  i wish to complete (bathroom remodeling).  My personal cresit score is very good to excellent. I have never missed a payment and always been responsible for my credit purchasing/ payments.  I have always been in full time employment.,other,Home improvement/ consolidate debt,452xx,OH,14.13,0.0,06/01/2004,0.0,,,6.0,0.0,6811,56.8,18.0,f,0.0,3,PC4
